flight_row_id,flight_id,airline,source,destination,departure_time,arrival_time,duration_minutes,is_overnight,is_duration_anomaly
33,6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,True,False
34,UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,False,False
35,SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,False,False
36,SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,37.0,False,False
37,AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,True,False
38,SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0,False,False
39,6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,False,False
40,UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,False,False
41,SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,True,False
42,SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,True,False
43,6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0,False,False
44,AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,98.0,False,False
45,AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,False,False
46,6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0,False,False
47,SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,False,False
48,6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,True,False
49,SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,42.0,False,False
50,6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0,False,False
51,UK036,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,True,False
52,SJ160,SpiceJet,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,45.0,False,False
53,6F151,IndiGo,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,False,False
54,UK140,Vistara,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,83.0,False,False
55,AI115,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,True,False
56,AI132,Air India,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,129.0,False,False
57,UK209,UNKNOWN,MAA,BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,165.0,False,False
58,SJ043,UNKNOWN,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,129.0,False,False
59,UK176,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,False,False
60,UK216,Vistara,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,194.0,False,False
61,UK150,Vistara,DEL,CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,30.0,False,False
62,UK145,Vistara,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,131.0,False,False
63,6F270,UNKNOWN,HYD,MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,48.0,False,False
64,6F012,IndiGo,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0,False,False
65,SJ236,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,239.0,False,False
66,6F149,IndiGo,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0,False,False
67,UK004,Vistara,BOM,CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,34.0,False,False
68,UK010,Vistara,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,167.0,False,False
69,UK215,Vistara,BOM,DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,132.0,False,False
70,SJ116,SpiceJet,HYD,CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,89.0,False,False
71,SJ023,SpiceJet,HYD,MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,102.0,False,False
72,UK152,Vistara,BOM,CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,169.0,False,False
73,SJ202,SpiceJet,CCU,HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,107.0,False,False
74,6F043,IndiGo,BOM,HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,86.0,False,False
75,UK173,Vistara,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,256.0,False,False
76,SJ081,SpiceJet,BOM,BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,109.0,False,False
77,UK153,Vistara,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,241.0,False,False
78,UK187,Vistara,BLR,BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,110.0,False,False
79,UK055,Vistara,HYD,DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,163.0,False,False
80,UK181,Vistara,MAA,DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,162.0,False,False
81,UK074,Vistara,BOM,DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,117.0,False,False
82,SJ068,SpiceJet,BLR,BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,124.0,False,False
83,AI242,UNKNOWN,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,62.0,False,False
84,SJ237,SpiceJet,BOM,CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,148.0,False,False
85,6F194,IndiGo,BOM,CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,118.0,False,False
86,UK063,Vistara,DEL,BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,72.0,False,False
87,UK068,Vistara,BLR,MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,101.0,False,False
88,UK224,UNKNOWN,CCU,MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,239.0,False,False
89,UK077,UNKNOWN,HYD,BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,98.0,False,False
90,UK207,Vistara,MAA,CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,75.0,False,False
91,AI221,Air India,MAA,HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,156.0,False,False
92,UK109,Vistara,BLR,BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,60.00496666666666,False,False
93,UK089,Vistara,BOM,HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,252.0,False,False
94,AI072,Air India,BLR,CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,58.0,False,False
95,UK131,Vistara,BOM,DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,246.0,False,False
96,SJ150,SpiceJet,BOM,HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,210.0,False,False
97,6F097,IndiGo,BLR,BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,77.0,False,False
98,6F123,IndiGo,DEL,HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,106.0,False,False
99,6F017,IndiGo,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,False
100,6F245,IndiGo,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,False
101,6F180,IndiGo,MAA,BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,264.0,False,False
102,6F152,IndiGo,CCU,DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,124.0,False,False
103,SJ034,SpiceJet,MAA,BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,291.0,False,False
104,SJ142,SpiceJet,CCU,BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,102.0,False,False
105,UK189,Vistara,BLR,MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,224.0,False,False
106,SJ044,SpiceJet,DEL,CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,157.0,False,False
107,SJ196,SpiceJet,DEL,HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,166.0,False,False
108,6F188,IndiGo,DEL,HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,282.0,False,False
109,6F181,IndiGo,BOM,MAA,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,108.0,False,False
110,6F077,IndiGo,CCU,DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0,False,False
111,SJ154,SpiceJet,BLR,HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,99.0,False,False
112,AI025,Air India,HYD,DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,145.0,False,False
113,AI094,Air India,DEL,BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,60.00496666666666,False,False
114,6F191,IndiGo,BLR,DEL,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,30.0,False,False
115,SJ085,SpiceJet,BLR,MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,270.0,False,False
116,6F261,UNKNOWN,CCU,DEL,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,178.0,False,False
117,6F129,IndiGo,DEL,CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,139.0,False,False
118,6F254,UNKNOWN,MAA,BLR,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,215.0,False,False
119,SJ185,SpiceJet,BOM,CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,60.0,False,False
120,6F030,IndiGo,BOM,DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,170.0,False,False
121,SJ222,SpiceJet,BOM,DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,174.0,False,False
122,6F259,UNKNOWN,BOM,DEL,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,71.0,False,False
123,UK083,Vistara,DEL,HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,49.0,False,False
124,6F051,IndiGo,BLR,BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,120.0,False,False
125,SJ088,SpiceJet,CCU,MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,32.0,False,False
126,6F146,IndiGo,HYD,MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,76.0,False,False
127,6F047,IndiGo,MAA,DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,125.0,False,False
128,AI077,Air India,CCU,HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,66.0,False,False
129,UK134,Vistara,HYD,CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,222.0,False,False
130,AI056,Air India,DEL,MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,235.0,False,False
131,UK141,UNKNOWN,HYD,MAA,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,141.0,False,False
132,AI030,Air India,CCU,HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,199.0,False,False
133,AI029,Air India,MAA,DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,264.0,False,False
134,SJ167,SpiceJet,MAA,CCU,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,54.0,False,False
135,UK017,Vistara,BLR,HYD,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,95.0,False,False
136,6F229,IndiGo,MAA,DEL,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,80.0,False,False
137,SJ117,SpiceJet,MAA,BLR,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,236.0,False,False
138,6F184,IndiGo,MAA,BOM,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,179.0,False,False
139,AI031,Air India,DEL,MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,186.0,False,False
140,AI178,Air India,CCU,BLR,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,59.0,False,False
141,SJ089,SpiceJet,HYD,CCU,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,273.0,False,False
142,UK166,Vistara,HYD,MAA,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,293.0,False,False
143,UK104,Vistara,DEL,BOM,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,82.0,False,False
144,6F168,IndiGo,HYD,DEL,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,220.0,False,False
145,AI222,UNKNOWN,BOM,DEL,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,64.0,False,False
146,SJ025,SpiceJet,BOM,CCU,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,207.0,False,False
147,6F255,UNKNOWN,DEL,BOM,2026-04-20 11:59:41.703,2026-04-20 15:33:41.703,214.0,False,False
148,UK228,Vistara,DEL,MAA,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,190.0,False,False
149,6F158,IndiGo,CCU,MAA,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,246.0,False,False
150,SJ218,SpiceJet,DEL,HYD,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,185.0,False,False
151,6F034,IndiGo,BOM,DEL,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,56.0,False,False
152,UK156,Vistara,MAA,BLR,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,244.0,False,False
153,6F105,IndiGo,BLR,BOM,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,72.0,False,False
154,6F073,IndiGo,DEL,CCU,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,220.0,False,False
155,SJ074,SpiceJet,DEL,CCU,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,41.0,False,False
156,6F234,IndiGo,BOM,DEL,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,171.0,False,False
157,6F068,IndiGo,BLR,HYD,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,229.0,False,False
158,6F074,IndiGo,HYD,BOM,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,200.0,False,False
159,AI038,Air India,HYD,MAA,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,279.0,False,False
160,AI079,Air India,CCU,BLR,2026-04-20 11:04:41.702,2026-04-20 13:19:41.702,135.0,False,False
161,SJ018,SpiceJet,BOM,CCU,2026-04-20 10:58:41.701,2026-04-20 13:31:41.701,153.0,False,False
162,6F018,IndiGo,DEL,BLR,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,46.0,False,False
163,AI091,Air India,CCU,MAA,2026-04-20 10:52:41.702,2026-04-20 15:15:41.702,263.0,False,False
164,UK071,Vistara,DEL,HYD,2026-04-20 10:50:41.701,2026-04-20 14:06:41.701,196.0,False,False
165,AI019,Air India,BOM,CCU,2026-04-20 10:49:41.701,2026-04-20 11:51:41.701,62.0,False,False
166,UK212,Vistara,HYD,MAA,2026-04-20 10:46:41.704,2026-04-20 11:31:41.704,45.0,False,False
167,AI146,Air India,BLR,DEL,2026-04-20 10:40:41.702,2026-04-20 13:46:41.702,186.0,False,False
168,6F232,IndiGo,MAA,BLR,2026-04-20 10:39:41.704,2026-04-20 12:22:41.704,103.0,False,False
169,6F084,IndiGo,CCU,HYD,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,60.00496666666666,False,False
170,AI129,Air India,BOM,CCU,2026-04-20 10:29:41.702,2026-04-20 13:38:41.702,189.0,False,False
171,AI240,Air India,MAA,DEL,2026-04-20 10:19:41.704,2026-04-20 12:46:41.704,147.0,False,False
172,6F091,IndiGo,BLR,CCU,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,86.0,False,False
173,UK133,Vistara,BOM,DEL,2026-04-20 10:04:41.702,2026-04-20 13:16:41.702,192.0,False,False
174,SJ007,SpiceJet,BOM,CCU,2026-04-20 10:03:41.701,2026-04-20 14:53:41.701,290.0,False,False
175,SJ141,SpiceJet,CCU,DEL,2026-04-20 10:00:41.702,2026-04-20 13:37:41.702,217.0,False,False
176,6F049,IndiGo,HYD,DEL,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,193.0,False,False
177,SJ235,SpiceJet,BOM,DEL,2026-04-20 09:57:41.704,2026-04-20 13:45:41.704,228.0,False,False
178,UK087,Vistara,HYD,MAA,2026-04-20 09:49:41.702,2026-04-20 13:17:41.702,208.0,False,False
179,UK170,Vistara,BOM,BLR,2026-04-20 09:42:41.703,2026-04-20 11:32:41.703,110.0,False,False
180,SJ078,SpiceJet,DEL,HYD,2026-04-20 09:41:41.701,2026-04-20 12:49:41.701,188.0,False,False
181,SJ075,SpiceJet,MAA,BLR,2026-04-20 09:26:41.701,2026-04-20 11:03:41.701,97.0,False,False
182,AI159,Air India,HYD,BLR,2026-04-20 09:23:41.703,2026-04-20 11:36:41.703,133.0,False,False
183,UK120,Vistara,HYD,DEL,2026-04-20 09:19:41.702,2026-04-20 13:30:41.702,251.0,False,False
184,AI059,Air India,CCU,DEL,2026-04-20 09:16:41.701,2026-04-20 11:43:41.701,147.0,False,False
185,UK040,Vistara,HYD,CCU,2026-04-20 09:15:41.701,2026-04-20 10:32:41.701,77.0,False,False
186,AI044,UNKNOWN,MAA,BLR,2026-04-20 09:03:41.701,2026-04-20 12:36:41.701,213.0,False,False
187,AI078,Air India,DEL,BOM,2026-04-20 08:58:41.702,2026-04-20 13:28:41.702,270.0,False,False
188,SJ226,SpiceJet,HYD,BOM,2026-04-20 08:47:41.704,2026-04-20 12:54:41.704,247.0,False,False
189,6F209,IndiGo,MAA,CCU,2026-04-20 08:40:41.703,2026-04-20 13:40:41.703,300.0,False,False
190,UK193,Vistara,HYD,DEL,2026-04-20 08:39:41.703,2026-04-20 09:14:41.703,35.0,False,False
191,6F092,IndiGo,MAA,BLR,2026-04-20 08:39:41.702,2026-04-20 09:15:41.702,36.0,False,False
192,AI208,Air India,BLR,BOM,2026-04-20 08:38:41.703,2026-04-20 11:52:41.703,194.0,False,False
193,SJ227,SpiceJet,BOM,CCU,2026-04-20 08:32:41.704,2026-04-20 12:53:41.704,261.0,False,False
194,6F238,IndiGo,BOM,DEL,2026-04-20 08:31:41.704,2026-04-20 09:19:41.704,48.0,False,False
195,AI084,Air India,BOM,HYD,2026-04-20 08:31:41.702,2026-04-20 09:46:41.702,75.0,False,False
196,SJ228,SpiceJet,BOM,CCU,2026-04-20 08:29:41.704,2026-04-20 12:16:41.704,227.0,False,False
197,UK194,Vistara,CCU,BOM,2026-04-20 08:26:41.703,2026-04-20 09:26:42.000,60.00495,False,False
198,6F126,IndiGo,CCU,MAA,2026-04-20 08:21:41.702,2026-04-20 09:39:41.702,78.0,False,False
199,SJ052,SpiceJet,MAA,BLR,2026-04-20 08:20:41.701,2026-04-20 09:57:41.701,97.0,False,False
200,AI233,Air India,BLR,BOM,2026-04-20 08:04:41.704,2026-04-20 09:52:41.704,108.0,False,False
201,AI213,Air India,HYD,CCU,2026-04-20 08:03:41.703,2026-04-20 09:14:41.703,71.0,False,False
202,UK076,Vistara,MAA,CCU,2026-04-20 08:03:41.702,2026-04-20 12:26:41.702,263.0,False,False
203,SJ022,SpiceJet,DEL,BLR,2026-04-20 07:56:41.701,2026-04-20 11:07:41.701,191.0,False,False
204,SJ002,SpiceJet,DEL,BOM,2026-04-20 07:54:41.701,2026-04-20 12:40:41.701,286.0,False,False
205,AI163,Air India,HYD,MAA,2026-04-20 07:45:41.703,2026-04-20 08:46:41.703,61.0,False,False
206,UK229,UNKNOWN,HYD,DEL,2026-04-20 07:40:41.704,2026-04-20 11:57:41.704,257.0,False,False
207,UK185,Vistara,DEL,MAA,2026-04-20 07:31:41.703,2026-04-20 08:48:41.703,77.0,False,False
208,6F029,IndiGo,BOM,BLR,2026-04-20 07:31:41.701,2026-04-20 11:45:41.701,254.0,False,False
209,6F056,IndiGo,BOM,MAA,2026-04-20 07:00:41.701,2026-04-20 08:49:41.701,109.0,False,False
210,AI062,Air India,MAA,DEL,2026-04-20 06:49:41.701,2026-04-20 07:25:41.701,36.0,False,False
211,UK034,Vistara,DEL,BLR,2026-04-20 06:47:41.701,2026-04-20 10:11:41.701,204.0,False,False
212,UK079,Vistara,DEL,BLR,2026-04-20 06:43:41.702,2026-04-20 10:34:41.702,231.0,False,False
213,AI135,Air India,BLR,BOM,2026-04-20 06:40:41.702,2026-04-20 09:21:41.702,161.0,False,False
214,SJ061,SpiceJet,MAA,BLR,2026-04-20 06:38:41.701,2026-04-20 09:35:41.701,177.0,False,False
215,AI047,UNKNOWN,CCU,MAA,2026-04-20 06:36:41.701,2026-04-20 07:23:41.701,47.0,False,False
216,UK210,Vistara,DEL,CCU,2026-04-20 06:35:41.704,2026-04-20 07:30:41.704,55.0,False,False
217,AI088,UNKNOWN,MAA,DEL,2026-04-20 06:34:41.702,2026-04-20 10:10:41.702,216.0,False,False
218,UK177,Vistara,DEL,HYD,2026-04-20 06:21:41.703,2026-04-20 10:50:41.703,269.0,False,False
219,AI128,UNKNOWN,BOM,CCU,2026-04-20 06:07:41.702,2026-04-20 10:03:41.702,236.0,False,False
220,AI158,Air India,CCU,DEL,2026-04-20 06:04:41.703,2026-04-20 09:01:41.703,177.0,False,False
221,UK206,Vistara,MAA,BLR,2026-04-20 06:01:41.703,2026-04-20 10:34:41.703,273.0,False,False
222,SJ138,UNKNOWN,BLR,BOM,2026-04-20 05:55:41.702,2026-04-20 06:43:41.702,48.0,False,False
223,AI034,Air India,DEL,BOM,2026-04-20 05:48:41.701,2026-04-20 10:31:41.701,283.0,False,False
224,AI012,Air India,BOM,CCU,2026-04-20 05:44:41.701,2026-04-20 09:47:41.701,243.0,False,False
225,6F083,IndiGo,BLR,DEL,2026-04-20 05:24:41.702,2026-04-20 06:03:41.702,39.0,False,False
226,SJ083,SpiceJet,MAA,BLR,2026-04-20 05:13:41.702,2026-04-20 08:17:41.702,184.0,False,False
227,SJ186,SpiceJet,CCU,DEL,2026-04-20 05:11:41.703,2026-04-20 07:22:41.703,131.0,False,False
228,UK001,Vistara,CCU,DEL,2026-04-20 05:06:41.700,2026-04-20 06:31:41.700,85.0,False,False
229,AI217,Air India,CCU,BLR,2026-04-20 04:57:41.703,2026-04-20 07:14:41.703,137.0,False,False
230,6F178,IndiGo,BOM,CCU,2026-04-20 04:48:41.703,2026-04-20 09:11:41.703,263.0,False,False
231,UK015,Vistara,BLR,BOM,2026-04-20 04:46:41.701,2026-04-20 06:33:41.701,107.0,False,False
232,AI112,Air India,DEL,BLR,2026-04-20 04:41:41.702,2026-04-20 08:24:41.702,223.0,False,False
233,UK100,Vistara,CCU,BLR,2026-04-20 04:40:41.702,2026-04-20 07:12:41.702,152.0,False,False
234,6F133,IndiGo,MAA,BLR,2026-04-20 04:38:41.702,2026-04-20 06:25:41.702,107.0,False,False
235,AI227,Air India,BLR,MAA,2026-04-20 04:31:41.703,2026-04-20 08:17:41.703,226.0,False,False
236,UK093,Vistara,HYD,CCU,2026-04-20 04:31:41.702,2026-04-20 05:21:41.702,50.0,False,False
237,UK203,Vistara,BLR,HYD,2026-04-20 04:12:41.703,2026-04-20 05:24:41.703,72.0,False,False
238,UK154,Vistara,MAA,HYD,2026-04-20 04:00:41.703,2026-04-20 07:57:41.703,237.0,False,False
